Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
ninety.soccer,available,66,11%,6,Mathematics,,,
xxi.soccer,available,66,10%,3,Mathematics,,,
xii.soccer,available,66,10%,3,Mathematics,,,
five.soccer,available,66,26%,4,Mathematics,,,
absolved.soccer,available,64,1%,8,"Humanities,Law,Religion",,,
scatty.soccer,available,64,1%,6,"Arts,Entertainment,Media",,,
adagio.soccer,available,64,14%,6,Entertainment,,,
nondrinker.soccer,available,64,1%,10,"Health and Fitness,Religion",,,
aflame.soccer,available,64,3%,6,Entertainment,,,
astringent.soccer,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
acentric.soccer,available,64,2%,8,Science,,,
ccc.soccer,available,64,38%,3,Mathematics,,,
deviant.soccer,available,64,12%,7,"Medicine,Science",,,
accordant.soccer,available,64,3%,9,"Arts,Entertainment",,,
accrued.soccer,available,62,2%,7,"Banking,Finance,Insurance",,,
cumulative.soccer,available,62,2%,10,"Banking,Finance,Insurance",,,
accusing.soccer,available,62,1%,8,Law,,,
admissible.soccer,available,62,1%,10,"Education,Healthcare,Law",,,
quartet.soccer,available,62,7%,7,"Arts,Entertainment",,,
fortyfour.soccer,available,62,6%,10,Mathematics,,,
aborigine.soccer,available,62,1%,9,Humanities,,,
playacting.soccer,available,62,1%,10,Entertainment,,,
aufait.soccer,available,62,3%,7,"Fashion,Media",,,
roughly.soccer,available,62,3%,7,"Business,Media,Technology",,,
wrapped.soccer,available,62,13%,7,"Fashion,Hospitality,Retail",,,
longdozen.soccer,available,62,2%,10,Mathematics,,,
chiliad.soccer,available,62,2%,7,Mathematics,,,
nail.soccer,available,62,16%,4,"Construction,Fashion,General,Retail",,,
acidic.soccer,available,62,5%,6,"Food and Beverage,Science",,,
eighteenth.soccer,available,62,1%,10,Mathematics,,,
ensuant.soccer,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
activation.soccer,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
troika.soccer,available,62,8%,6,Politics,,,
activistic.soccer,available,62,1%,10,"Humanities,Politics",,,
eleventh.soccer,available,62,5%,8,Mathematics,,,
pungent.soccer,available,62,1%,7,Food and Beverage,,,
orso.soccer,available,62,9%,5,"Business,Media,Technology",,,
adjuvant.soccer,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
twodozen.soccer,available,62,1%,9,Mathematics,,,
adoptive.soccer,available,62,1%,8,"Education,Healthcare",,,
sixteenth.soccer,available,62,1%,9,Mathematics,,,
exculpated.soccer,available,62,1%,10,"Humanities,Law,Politics",,,
abo.soccer,available,62,15%,3,Science,,,
clxv.soccer,available,60,1%,4,Mathematics,,,
cxxx.soccer,available,60,4%,4,Mathematics,,,
clxx.soccer,available,60,3%,4,Mathematics,,,
cautionary.soccer,available,60,1%,10,"Business,Education,Healthcare",,,
abashed.soccer,available,60,1%,7,Humanities,,,
idolised.soccer,available,60,1%,8,"Entertainment,Fashion,Retail",,,
clxxx.soccer,available,60,1%,5,Mathematics,,,
abstainer.soccer,available,60,0%,9,"Health and Fitness,Religion",,,
cxl.soccer,available,60,7%,3,Mathematics,,,
adnate.soccer,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
paunchy.soccer,available,60,0%,7,"Health and Fitness,Medicine",,,
cxxv.soccer,available,60,1%,4,Mathematics,,,
abstemious.soccer,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
clxxv.soccer,available,60,1%,5,Mathematics,,,
cxv.soccer,available,60,4%,3,Mathematics,,,
annexal.soccer,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
adnexal.soccer,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
cxxxv.soccer,available,60,2%,5,Mathematics,,,
acceptive.soccer,available,60,1%,9,"Education,Healthcare",,,
xcl.soccer,available,60,5%,3,Mathematics,,,
aboveboard.soccer,available,60,5%,10,"Business,Law",,,
clx.soccer,available,60,10%,3,Mathematics,,,
octet.soccer,available,60,12%,5,Arts,,,
idolized.soccer,available,60,3%,8,"Entertainment,Fashion,Retail",,,
cxlv.soccer,available,60,2%,4,Mathematics,,,
sixty.soccer,available,60,13%,5,Mathematics,,,
eightysix.soccer,available,60,7%,10,Mathematics,,,
tertiary.soccer,available,60,4%,8,Education,,,
cxx.soccer,available,60,10%,3,Mathematics,,,
thou.soccer,available,60,7%,4,Mathematics,,,
tercet.soccer,available,59,2%,6,"Arts,Entertainment,Media",,,
accoutred.soccer,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
tetrad.soccer,available,58,5%,6,Mathematics,,,
fourth.soccer,available,58,13%,6,Mathematics,,,
quintet.soccer,available,58,8%,7,"Arts,Entertainment",,,
alacarte.soccer,available,58,11%,10,Food and Beverage,,,
seventy.soccer,available,58,7%,7,Mathematics,,,
accretive.soccer,available,58,6%,9,"Banking,Finance,Insurance",,,
niner.soccer,available,58,5%,5,Mathematics,,,
eighter.soccer,available,58,2%,7,Mathematics,,,
centesimal.soccer,available,58,1%,10,Mathematics,,,
acyclic.soccer,available,58,4%,7,"Engineering,Mathematics,Science",,,
aucourant.soccer,available,58,3%,10,"Fashion,Media",,,
addible.soccer,available,58,2%,7,"Engineering,Mathematics,Science",,,
acetic.soccer,available,58,1%,6,"Food and Beverage,Science",,,
sixtyone.soccer,available,58,3%,9,Mathematics,,,
sixer.soccer,available,58,5%,5,Sports,,,
twelfth.soccer,available,58,2%,7,Mathematics,,,
octad.soccer,available,58,5%,5,Mathematics,,,
adhoc.soccer,available,58,24%,6,"Business,Engineering,Technology",,,
lxxx.soccer,available,58,2%,4,Mathematics,,,
addressed.soccer,available,58,3%,9,"Business,Technology,Telecommunications",,,
adjustive.soccer,available,58,1%,9,"Manufacturing,Retail,Technology",,,
linear.soccer,available,58,22%,6,"Engineering,Mathematics,Science",,,
abandoned.soccer,available,58,10%,9,"Construction,Real Estate",,,
fifth.soccer,available,58,12%,5,Mathematics,,,
closeto.soccer,available,58,3%,8,"Business,Media,Technology",,,
cypher.soccer,available,58,29%,6,Mathematics,,,
sextuplet.soccer,available,58,1%,9,Healthcare,,,
heptad.soccer,available,58,1%,6,Mathematics,,,
ache.soccer,available,58,7%,4,Healthcare,,,
abuzz.soccer,available,58,5%,5,"Entertainment,Media,Technology",,,
actuarial.soccer,available,58,8%,9,"Finance,Insurance,Mathematics",,,
abridged.soccer,available,58,4%,8,Media,,,
fourscore.soccer,available,58,4%,9,Mathematics,,,
abused.soccer,available,58,5%,6,"Healthcare,Law",,,
hexad.soccer,available,58,4%,5,Mathematics,,,
offhanded.soccer,available,58,1%,9,Entertainment,,,
justabout.soccer,available,58,3%,10,"Business,Media,Technology",,,
enwrapped.soccer,available,58,0%,9,"Entertainment,Fashion,Media",,,
super.soccer,expiring,58,47%,5,Business,08/09/2015 17:16,08/09/2025 17:16,1API GmbH
pentad.soccer,available,58,2%,6,Mathematics,,,
adient.soccer,available,58,4%,6,"Medicine,Science",,,
lxxviii.soccer,available,58,1%,7,Mathematics,,,
accented.soccer,available,58,3%,8,"Arts,Entertainment",,,
addled.soccer,available,56,2%,6,Entertainment,,,
admittable.soccer,available,56,1%,10,"Education,Healthcare,Hospitality",,,
lii.soccer,available,56,7%,3,Mathematics,,,
xxxiii.soccer,available,56,2%,6,Mathematics,,,
xxix.soccer,available,56,4%,4,Mathematics,,,
fortysix.soccer,available,56,3%,9,Mathematics,,,
fiftytwo.soccer,available,56,6%,9,Mathematics,,,
ilx.soccer,available,56,5%,3,Mathematics,,,
aone.soccer,available,56,15%,5,Food and Beverage,,,
thirtytwo.soccer,available,56,5%,10,Mathematics,,,
xxxviii.soccer,available,56,1%,7,Mathematics,,,
lvii.soccer,available,56,1%,4,Mathematics,,,
xxiv.soccer,available,56,5%,4,Mathematics,,,
fortyone.soccer,available,56,4%,9,Mathematics,,,
admissive.soccer,available,56,1%,9,"Education,Healthcare,Hospitality",,,
appressed.soccer,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
potbellied.soccer,available,56,0%,10,"Health and Fitness,Medicine",,,
thirtyone.soccer,available,56,5%,10,Mathematics,,,
liii.soccer,available,56,4%,4,Mathematics,,,
fiftynine.soccer,available,56,4%,10,Mathematics,,,
xliv.soccer,available,56,2%,4,Mathematics,,,
xlii.soccer,available,56,5%,4,Mathematics,,,
triad.soccer,available,56,15%,5,Arts,,,
xxxi.soccer,available,56,9%,4,Mathematics,,,
accoutered.soccer,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
fortynine.soccer,available,56,3%,10,Mathematics,,,
xlvi.soccer,available,56,3%,4,Mathematics,,,
thirtysix.soccer,available,56,5%,10,Mathematics,,,
xli.soccer,available,56,5%,3,Mathematics,,,
xxiii.soccer,available,56,5%,5,Mathematics,,,
terzetto.soccer,available,56,3%,8,Arts,,,
xxviii.soccer,available,56,1%,6,Mathematics,,,
abdominous.soccer,available,56,0%,10,"Health and Fitness,Medicine",,,
fiftyfour.soccer,available,56,3%,10,Mathematics,,,
xxxiv.soccer,available,56,1%,5,Mathematics,,,
admittible.soccer,available,56,1%,10,"Education,Healthcare,Hospitality",,,
xlv.soccer,available,56,6%,3,Mathematics,,,
halfdozen.soccer,available,56,1%,10,Mathematics,,,
fiftyfive.soccer,available,56,7%,10,Mathematics,,,
xxvii.soccer,available,56,3%,5,Mathematics,,,
fortytwo.soccer,available,56,17%,9,Mathematics,,,
lvi.soccer,available,56,8%,3,Mathematics,,,
fiftyone.soccer,available,56,7%,9,Mathematics,,,
abeyant.soccer,available,56,1%,7,"Business,Law",,,
xxxvi.soccer,available,56,1%,5,Mathematics,,,
fiftysix.soccer,available,56,4%,9,Mathematics,,,
xlviii.soccer,available,56,1%,6,Mathematics,,,
xxxvii.soccer,available,56,2%,6,Mathematics,,,
xxxv.soccer,available,56,4%,4,Mathematics,,,
xlvii.soccer,available,56,2%,5,Mathematics,,,
lviii.soccer,available,56,1%,5,Mathematics,,,
xliii.soccer,available,56,1%,5,Mathematics,,,
maledict.soccer,available,56,1%,8,Religion,,,
xxxii.soccer,available,56,1%,5,Mathematics,,,
monitory.soccer,available,54,3%,8,"Business,Education,Healthcare",,,
abient.soccer,available,54,1%,6,Science,,,
vii.soccer,available,54,13%,3,Mathematics,,,
quadruplet.soccer,available,54,1%,10,"Healthcare,Medicine,Science",,,
unnatural.soccer,available,54,4%,9,"Medicine,Science",,,
sise.soccer,available,54,5%,4,Mathematics,,,
abatic.soccer,available,54,1%,6,Science,,,
deserted.soccer,available,54,3%,8,"Hospitality,Real Estate",,,
quatern.soccer,available,54,2%,7,Mathematics,,,
accursed.soccer,available,54,3%,8,"Entertainment,Media,Religion",,,
admonitory.soccer,available,54,0%,10,"Business,Education,Healthcare",,,
adducting.soccer,available,54,1%,9,"Engineering,Mathematics,Science",,,
adjuratory.soccer,available,54,0%,10,"Law,Politics,Religion",,,
quaternity.soccer,available,54,4%,10,Mathematics,,,
quintuplet.soccer,available,54,1%,10,"Healthcare,Medicine,Science",,,
iii.soccer,available,54,24%,3,Mathematics,,,
threescore.soccer,available,54,1%,10,Mathematics,,,
viii.soccer,available,54,6%,4,Mathematics,,,
aboral.soccer,available,54,2%,6,Science,,,
abaxial.soccer,available,54,1%,7,Science,,,
actuated.soccer,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
abhorrent.soccer,available,54,1%,9,Humanities,,,
adaxial.soccer,available,54,2%,7,Science,,,
achy.soccer,available,54,3%,4,Healthcare,,,
ternion.soccer,available,54,3%,7,Mathematics,,,
fortyfive.soccer,available,54,4%,10,Mathematics,,,
adpressed.soccer,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
quaternion.soccer,available,54,6%,10,Mathematics,,,
fin.soccer,available,54,30%,3,Finance,,,
adducent.soccer,available,54,1%,8,"Engineering,Mathematics,Science",,,
topnotch.soccer,available,54,18%,8,Business,,,
twoscore.soccer,available,54,2%,8,Mathematics,,,
scratchy.soccer,available,54,3%,8,Fashion,,,
abatable.soccer,available,54,1%,8,Law,,,
acoustical.soccer,available,54,4%,10,Science,,,
accentual.soccer,available,54,3%,9,"Arts,Entertainment",,,
deuceace.soccer,available,54,2%,9,Sports,,,
abducens.soccer,available,54,1%,8,Medicine,,,
abasic.soccer,available,54,1%,6,Science,,,
achromatic.soccer,available,54,4%,10,Science,,,
adductive.soccer,available,54,0%,9,"Engineering,Mathematics,Science",,,
septet.soccer,available,53,1%,6,General,,,
sestet.soccer,available,53,1%,6,Arts,,,
xxx.soccer,available,53,30%,3,"Arts,Entertainment,Media",,,
lxiv.soccer,available,52,3%,4,Mathematics,,,
lxxxv.soccer,available,52,1%,5,Mathematics,,,
sixtysix.soccer,available,52,4%,9,Mathematics,,,
lxxxvi.soccer,available,52,1%,6,Mathematics,,,
xcv.soccer,available,52,7%,3,Mathematics,,,
abominable.soccer,available,52,2%,10,"Entertainment,Humanities",,,
xcvi.soccer,available,52,2%,4,Mathematics,,,
ixc.soccer,available,52,5%,3,Mathematics,,,
abusive.soccer,available,52,3%,7,"Healthcare,Law",,,
eightytwo.soccer,available,52,4%,10,Mathematics,,,
lxxvi.soccer,available,52,1%,5,Mathematics,,,
detestable.soccer,available,52,1%,10,Humanities,,,
repugnant.soccer,available,52,1%,9,Humanities,,,
lxxxi.soccer,available,52,1%,5,Mathematics,,,
lxiii.soccer,available,52,2%,5,Mathematics,,,
ixl.soccer,available,52,9%,3,Mathematics,,,
lxv.soccer,available,52,5%,3,Mathematics,,,
repulsive.soccer,available,52,1%,9,Humanities,,,
littlejoe.soccer,available,52,2%,10,"Entertainment,Media",,,
lxxxiv.soccer,available,52,1%,6,Mathematics,,,
lxxxvii.soccer,available,52,1%,7,Mathematics,,,
lxxii.soccer,available,52,1%,5,Mathematics,,,
abysmal.soccer,available,52,4%,7,"Arts,Entertainment,Media",,,
ninetytwo.soccer,available,52,4%,10,Mathematics,,,
aboulic.soccer,available,52,1%,7,Medicine,,,
lxxiii.soccer,available,52,1%,6,Mathematics,,,
decumbent.soccer,available,52,1%,9,"Healthcare,Medicine,Science",,,
lxxv.soccer,available,52,1%,4,Mathematics,,,
ninetysix.soccer,available,52,4%,10,Mathematics,,,
odious.soccer,available,52,2%,6,"Entertainment,Humanities",,,
lxvii.soccer,available,52,1%,5,Mathematics,,,
lxii.soccer,available,52,1%,4,Mathematics,,,
xciv.soccer,available,52,2%,4,Mathematics,,,
lxxvii.soccer,available,52,2%,6,Mathematics,,,
lxxxiii.soccer,available,52,1%,7,Mathematics,,,
lxxiv.soccer,available,52,1%,5,Mathematics,,,
lxxi.soccer,available,52,1%,4,Mathematics,,,
xciii.soccer,available,52,1%,5,Mathematics,,,
xcviii.soccer,available,52,1%,6,Mathematics,,,
xcii.soccer,available,52,2%,4,Mathematics,,,
xcvii.soccer,available,52,1%,5,Mathematics,,,
uphill.soccer,available,52,7%,6,"Sports,Transportation,Travel",,,
xci.soccer,available,52,4%,3,Mathematics,,,
lxxxii.soccer,available,52,1%,6,Mathematics,,,
chagrined.soccer,available,52,1%,9,Humanities,,,
lxviii.soccer,available,52,1%,6,Mathematics,,,
sixtyfour.soccer,available,52,3%,10,Mathematics,,,
ninetyone.soccer,available,52,5%,10,Mathematics,,,
lxvi.soccer,available,52,3%,4,Mathematics,,,
sixtytwo.soccer,available,52,3%,9,Mathematics,,,
sixtyfive.soccer,available,52,3%,10,Mathematics,,,
tierce.soccer,available,52,3%,6,General,,,
ablated.soccer,available,52,1%,7,Science,,,
adenoidal.soccer,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
eightyone.soccer,available,52,3%,10,Mathematics,,,
abstruse.soccer,available,52,5%,8,"Humanities,Mathematics,Science",,,
lxi.soccer,available,52,5%,3,Mathematics,,,
broached.soccer,available,50,0%,8,Food and Beverage,,,
triplet.soccer,available,50,8%,7,Science,,,
abdicable.soccer,available,50,0%,9,Law,,,
needlelike.soccer,available,50,0%,10,"Engineering,Medicine,Science",,,
acetose.soccer,available,50,1%,7,Science,,,
trine.soccer,available,50,11%,5,"General,Religion",,,
spinous.soccer,available,50,1%,7,"Agriculture,Science",,,
gillless.soccer,available,50,0%,9,Science,,,
abomasal.soccer,available,50,0%,8,Agriculture,,,
vinegary.soccer,available,50,1%,8,Food and Beverage,,,
acquitted.soccer,available,50,1%,9,Law,,,
acerb.soccer,available,50,2%,5,Science,,,
lxx.soccer,available,50,5%,3,Mathematics,,,
adactylous.soccer,available,50,0%,10,Science,,,
abducting.soccer,available,50,0%,9,Medicine,,,
acetous.soccer,available,50,1%,7,Science,,,
ogdoad.soccer,available,50,1%,6,Mathematics,,,
abranchial.soccer,available,50,0%,10,Science,,,
acapnotic.soccer,available,50,0%,9,"Healthcare,Medicine,Science",,,
cinque.soccer,available,50,7%,6,Mathematics,,,
quint.soccer,available,50,13%,5,"Arts,Entertainment",,,
scummy.soccer,available,50,1%,6,Humanities,,,
acerbic.soccer,available,50,2%,7,"Arts,Humanities,Media",,,
abactinal.soccer,available,50,0%,9,Science,,,
acellular.soccer,available,50,1%,9,Science,,,
abbatial.soccer,available,50,0%,8,Religion,,,
acapnic.soccer,available,50,0%,7,"Healthcare,Medicine,Science",,,
acaudal.soccer,available,50,1%,7,"Agriculture,Science",,,
adhominem.soccer,available,50,2%,10,"Humanities,Law,Politics",,,
acerose.soccer,available,50,1%,7,Science,,,
aborticide.soccer,available,50,0%,10,Medicine,,,
aculeated.soccer,available,50,0%,9,"Engineering,Medicine,Science",,,
execrable.soccer,available,48,0%,9,"Entertainment,Humanities",,,
abyssal.soccer,available,48,12%,7,"Arts,Entertainment,Media",,,
apriori.soccer,available,48,13%,8,Mathematics,,,
notguilty.soccer,available,48,5%,10,Law,,,
lxxxviii.soccer,available,48,1%,8,Mathematics,,,
abstracted.soccer,available,48,5%,10,"Arts,Humanities,Science",,,
ilxx.soccer,available,48,1%,4,Mathematics,,,
ilxxx.soccer,available,48,1%,5,Mathematics,,,
acanthous.soccer,available,46,0%,9,"Agriculture,Science",,,
cotyloid.soccer,available,46,1%,8,Science,,,
acaudate.soccer,available,46,1%,8,"Agriculture,Science",,,
acanthotic.soccer,available,46,0%,10,"Agriculture,Science",,,
acapnial.soccer,available,46,0%,8,"Healthcare,Medicine,Science",,,
acheronian.soccer,available,46,1%,10,Humanities,,,
stripling.soccer,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acetabular.soccer,available,46,1%,10,Science,,,
stemless.soccer,available,46,2%,8,"Agriculture,Science",,,
acarpous.soccer,available,46,0%,8,"Agriculture,Science",,,
acicular.soccer,available,46,2%,8,Science,,,
acetylenic.soccer,available,46,1%,10,Science,,,
achromic.soccer,available,46,2%,8,Science,,,
achromous.soccer,available,46,1%,9,Science,,,
vinegarish.soccer,available,46,1%,10,Food and Beverage,,,
achenial.soccer,available,46,1%,8,Science,,,
quaternary.soccer,available,46,3%,10,Mathematics,,,
acetonic.soccer,available,46,1%,8,Science,,,
acetylic.soccer,available,46,1%,8,Science,,,
acephalous.soccer,available,46,1%,10,Science,,,
acanthoid.soccer,available,46,1%,9,"Agriculture,Science",,,
theabsurd.soccer,available,46,1%,10,"Arts,Entertainment,Media",,,
acarpelous.soccer,available,46,0%,10,"Agriculture,Science",,,
accusatory.soccer,available,44,1%,10,Law,,,
acherontic.soccer,available,44,1%,10,Humanities,,,
cotyloidal.soccer,available,44,1%,10,Science,,,
abscessed.soccer,available,41,0%,9,Healthcare,,,
phoebe.soccer,available,41,14%,6,Science,,,
accusive.soccer,available,40,1%,8,Law,,,
accurst.soccer,available,40,1%,7,Religion,,,
scurrilous.soccer,available,40,1%,10,"Entertainment,Media,Politics",,,